,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Value (in EUR),,,Value (in GBP),,,Volume (in kg/l),,,Units,,,,,,,,,,,,
MARKET,CATEGORY,TYPE OF REFORMED MEAT,TYPE OF SAVOURY INGREDIENTS,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,VEGETABLE,"31,546","497,170","1,642,384","28,710","452,475","1,494,735","2,867","39,925","135,185","10,832","163,220","697,283",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,OTHER,"20,877","419,296","10,289","19,000","381,601","9,364","2,450","55,759","1,822","12,250","278,795","9,108",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,NOT DETERMINED,0,"13,491","193,560",0,"12,278","176,159",0,"1,093","15,843",0,"5,463","79,217",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,WHEAT,0,0,"46,422",0,0,"42,248",0,0,"12,219",0,0,"66,770",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,TOFU,0,0,"3,350",0,0,"3,049",0,0,246,0,0,911,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,SOYA,0,0,"189,421",0,0,"172,392",0,0,"20,388",0,0,"137,781",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,NUGGETS,,"215,904","1,592,288","3,102,380","196,494","1,449,141","2,823,477","12,655","98,197","204,855","74,636","564,929","1,128,688",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,NUGGETS,SOYA,"215,904","1,487,476","1,861,255","196,494","1,353,752","1,693,929","12,655","91,447","123,919","74,636","530,195","711,572",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,NUGGETS,OTHER,0,"76,690","890,325",0,"69,796","810,285",0,"4,981","58,555",0,"24,905","292,776",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,NUGGETS,NOT DETERMINED,0,"28,121","350,800",0,"25,593","319,263",0,"1,769","22,381",0,"9,829","124,340",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STRIPS,,"929,891","1,581,634","1,413,577","846,294","1,439,446","1,286,497","60,270","139,228","121,071","380,053","619,021","506,321",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STRIPS,SOYA,"61,723","678,460","797,676","56,174","617,466","725,965","6,253","70,036","72,843","25,006","280,140","297,564",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STRIPS,OTHER,"46,808","476,775","300,926","42,600","433,913","273,873","4,596","49,099","28,489","19,150","204,578","118,704",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STRIPS,SEITAN,0,"320,875","53,336",0,"292,028","48,541",0,"14,461","2,300",0,"101,835","16,197",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STRIPS,TEMPEH,"168,776","75,818","34,202","153,603","69,002","31,128","8,179","3,708","1,354","41,309","18,729","6,834",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STRIPS,QUORN,"652,585","29,708",0,"593,917","27,037",0,"41,242","1,923",0,"294,588","13,739",0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,STRIPS,VEGETABLE,0,0,"227,436",0,0,"206,990",0,0,"16,085",0,0,"67,022",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,CHUNKS,,"793,836","1,537,987","2,438,287","722,470","1,399,722","2,219,086","45,287","92,819","143,503","251,076","522,552","830,269",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,CHUNKS,SOYA,"475,752","959,940","1,800,540","432,982","873,642","1,638,672","24,076","50,418","94,150","144,425","299,175","574,511",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,CHUNKS,OTHER,"135,062","344,089","332,585","122,920","313,155","302,686","11,038","26,971","21,872","61,321","149,839","121,511",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,CHUNKS,TOFU,"162,939","164,708","179,115","148,291","149,901","163,013","9,329","10,753","16,216","41,108","47,864","72,074",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,CHUNKS,VEGETABLE,0,"55,678","18,790",0,"50,672","17,101",0,"4,112","1,337",0,"22,844","7,429",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,CHUNKS,SEITAN,"20,082","13,572","100,360","18,277","12,352","91,338",845,566,"9,242","4,222","2,830","51,311",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,CHUNKS,TEMPEH,0,0,"6,896",0,0,"6,276",0,0,687,0,0,"3,433",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,KIEV,,0,"213,210","3,131,993",0,"194,042","2,850,428",0,"17,325","252,791",0,"86,625","968,552",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,KIEV,SOYA,0,"213,210","2,722,073",0,"194,042","2,477,359",0,"17,325","204,920",0,"86,625","777,068",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,KIEV,VEGETABLE,0,0,"409,921",0,0,"373,069",0,0,"47,871",0,0,"191,484",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FALAFEL,,"3,413","3,865","54,261","3,106","3,517","49,383",369,427,"5,940","1,589","1,975","29,210",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,FALAFEL,CHICKPEAS,"3,413","3,865","54,261","3,106","3,517","49,383",369,427,"5,940","1,589","1,975","29,210",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,TOFU,,0,"2,271",52,0,"2,067",47,0,124,3,0,695,14,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,TOFU,SOYA,0,"2,271",52,0,"2,067",47,0,124,3,0,695,14,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,,,"165,886,777","190,068,798","230,977,754","150,973,604","172,981,669","210,212,922","26,519,064","29,485,954","30,542,170","83,622,529","92,993,387","97,222,478",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,SAUSAGE,,"39,947,361","43,335,183","50,352,163","36,356,105","39,439,363","45,825,518","6,718,745","7,464,239","6,852,456","21,926,568","24,343,071","23,004,128",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,MINCE,,"21,664,502","24,332,423","27,756,640","19,716,869","22,144,945","25,261,326","4,332,623","4,534,251","4,481,502","10,831,835","11,279,617","11,119,417",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,BURGER,,"10,470,251","14,256,381","23,488,121","9,528,979","12,974,736","21,376,546","1,497,241","1,772,903","2,503,942","5,248,621","6,311,008","9,511,292",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,PIECES,,"16,170,697","17,856,798","20,181,262","14,716,956","16,251,477","18,366,973","2,653,931","2,946,390","2,842,050","7,310,946","7,987,076","7,853,520",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,NUGGETS,,"8,730,611","14,440,693","20,021,333","7,945,732","13,142,479","18,221,421","1,435,171","2,187,676","2,812,590","4,131,499","6,150,548","7,561,177",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,QUARTERPOUNDER,,"15,648,665","16,017,025","18,857,972","14,241,855","14,577,099","17,162,646","2,144,853","2,226,535","2,044,399","8,614,760","9,133,719","8,847,462",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,OTHER,,"9,710,751","11,187,195","14,572,151","8,837,757","10,181,470","13,262,119","1,204,892","1,353,268","1,758,821","4,155,819","4,628,100","5,568,277",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,FILLET,,"6,570,923","8,508,031","10,066,076","5,980,199","7,743,162","9,161,139","918,925","1,037,383","1,021,545","3,309,072","3,939,321","4,099,925",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,PIE,,"6,728,293","6,925,341","7,215,411","6,123,421","6,302,755","6,566,748","1,262,953","1,294,837","1,251,108","3,277,692","3,368,431","3,217,601",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,MEATBALLS,,"4,512,356","4,951,904","6,750,809","4,106,697","4,506,729","6,143,914","745,741","747,417","946,311","2,394,901","2,458,066","3,085,556",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,ROLL,,"3,784,010","3,989,516","5,980,483","3,443,829","3,630,860","5,442,839","736,070","803,589","1,201,005","1,831,201","1,934,183","2,793,889",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,BITES,,"4,475,304","4,982,295","4,649,161","4,072,975","4,534,388","4,231,203","744,103","806,332","658,753","2,514,731","2,722,713","2,228,733",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,ESCALOPES,,"3,350,361","3,978,285","4,622,487","3,049,165","3,620,639","4,206,927","401,463","483,423","497,050","1,670,392","2,012,603","2,068,690",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,STRIPS,,"2,544,742","3,242,102","4,436,284","2,315,971","2,950,638","4,037,463","334,456","412,275","430,617","1,110,161","1,343,346","1,396,585",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,MEAL,,"3,001,883","3,311,476","4,130,967","2,732,014","3,013,775","3,759,594","403,359","469,188","496,222","1,176,252","1,330,142","1,515,501",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,SLICE,,"2,034,638","2,099,340","2,009,297","1,851,725","1,910,610","1,828,662","155,655","163,789","138,076","1,028,680","1,064,021","899,938",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,FINGERS,,"2,153,632","2,035,584","1,827,690","1,960,022","1,852,586","1,663,381","164,411","161,426","145,264","822,053","812,137","730,988",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,SHAPES,,"1,482,962","1,087,510","1,087,661","1,349,645","989,743","989,880","254,037","183,225","153,146","751,290","538,898","494,580",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,STEAK,,"635,427","744,238","804,276","578,303","677,331","731,972","75,825","78,772","62,416","345,747","368,795","339,828",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,KIEV,,"1,008,097","990,773","655,677","917,469","901,703","596,731","151,750","142,865","86,698","610,373","574,278","344,155",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,SCHNITZEL,,"351,736","594,144","577,543","320,115","540,731","525,622","43,405","75,115","72,672","124,143","223,000","209,522",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,GOUJONS,,0,"191,163","524,497",0,"173,978","477,345",0,"23,008","50,295",0,"91,299","206,318",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,DIPPERS,,"909,574","1,011,396","409,791","827,804","920,472","372,951","139,454","118,051","35,233","435,794","379,016","125,396",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FROZEN MEAT SUBS - READY MEALS,DRUMSTICK,,0,0,2,0,0,2,0,0,0,0,0,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
