,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Value (in EUR),,,Value (in GBP),,,Volume (in kg/l),,,Units,,,,,,,,,,,,
MARKET,CATEGORY,TYPE OF REFORMED MEAT,TYPE OF SAVOURY INGREDIENTS,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BLOCK,NOT DETERMINED,0,"11,503","29,067",0,"10,469","26,454",0,609,"1,613",0,"6,093","16,134",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BLOCK,SOYA,0,71,0,0,65,0,0,3,0,0,17,0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEAL,,"17,044,360","17,778,765","18,793,678","15,512,077","16,180,459","17,104,132","2,924,420","2,324,359","2,268,057","6,748,511","6,246,709","6,246,687",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEAL,QUORN,"15,336,326","14,691,328","10,010,047","13,957,594","13,370,582","9,110,147","2,709,768","1,984,388","1,299,709","6,185,774","5,305,390","3,487,275",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEAL,SOYA,"1,104,992","1,424,870","4,369,104","1,005,653","1,296,774","3,976,323","133,834","164,848","511,917","334,586","407,353","1,343,633",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEAL,VEGETABLE,"543,040","1,278,656","2,530,393","494,221","1,163,706","2,302,912","76,290","138,885","232,840","218,998","404,630","705,740",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEAL,TOFU,"52,799","237,080","1,682,920","48,052","215,766","1,531,626","3,825","22,330","203,023","5,816","52,765","612,428",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEAL,OTHER,"4,348","143,065","201,171","3,957","130,204","183,086",447,"13,595","20,564","2,481","75,529","97,599",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,MEAL,TEMPEH,"2,856","3,766",43,"2,599","3,428",40,257,313,4,856,"1,042",12,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,,"10,448,300","14,313,205","24,636,180","9,509,001","13,026,452","22,421,394","834,354","1,032,593","1,705,453","3,843,086","5,132,733","8,487,227",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,SOYA,"2,134,643","6,218,690","11,770,691","1,942,739","5,659,632","10,712,509","131,585","389,466","740,197","751,912","2,163,314","3,978,146",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIECES,TOFU,"5,334,993","5,177,484","5,964,622","4,855,379","4,712,030","5,428,404","329,416","320,969","371,532","2,025,642","1,988,705","2,310,662",,,,,,,,,,
